Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Regional patient transfer patterns matter for the spread of hospital-acquired pathogens.,Xia H; Horn J; Piotrowska MJ; Sakowski K; Karch A; Kretzschmar M; Mikolajczyk R,"Pathogens typically responsible for hospital-acquired infections (HAIs) constitute a major threat to healthcare systems worldwide. They spread via hospital (or hospital-community) networks by readmissions or patient transfers. Therefore, knowledge of these networks is essential to develop and test strategies to mitigate and control the HAI spread. Until now, no methods for comparing healthcare networks across different systems were proposed. Based on healthcare insurance data from four German federal states (Bavaria, Lower Saxony, Saxony and Thuringia), we constructed hospital networks and compared them in a systematic approach regarding population, hospital characteristics, and patient transfer patterns. Direct patient transfers between hospitals had only a limited impact on HAI spread. Whereas, with low colonization clearance rates, readmissions to the same hospitals posed the biggest transmission risk of all inter-hospital transfers. We then generated hospital-community networks, in which patients either stay in communities or in hospitals. We found that network characteristics affect the final prevalence and the time to reach it. However, depending on the characteristics of the pathogen (colonization clearance rate and transmission rate or even the relationship between transmission rate in hospitals and in the community), the studied networks performed differently. The differences were not large, but justify further studies.",2024,Jan,Sci Rep,14,1,929,,10.1038/s41598-023-50873-z,38195669,#96,Xia 2024,"",""
Association of hospital centrality in inter-hospital patient-sharing networks with patient mortality and length of stay.,Bergmark RW; Jin G; Semco RS; Santolini M; Olsen MA; Dhand A,"OBJECTIVE: The interdependence of hospitals is underappreciated in patient outcomes studies. We used a network science approach to foreground this interdependence. Specifically, within two large state-based interhospital networks, we examined the relationship of a hospital's network position with in-hospital mortality and length of stay. METHODS: We constructed interhospital network graphs using data from the Healthcare Cost and Utilization Project and the American Hospital Association Annual Survey for Florida (2014) and California (2011). The exposure of interest was hospital centrality, defined as weighted degree (sum of all ties to a given hospital from other hospitals). The outcomes were in-hospital mortality and length of stay with sub-analyses for four acute medical conditions: pneumonia, heart failure, ischemic stroke, myocardial infarction. We compared outcomes for each quartile of hospital centrality relative to the most central quartile (Q4), independent of patient- and hospital-level characteristics, in this retrospective cross-sectional study. RESULTS: The inpatient cohorts had 1,246,169 patients in Florida and 1,415,728 in California. Compared to Florida's central hospitals which had an overall mortality 1.60%, peripheral hospitals had higher in-hospital mortality (1.97%, adjusted OR (95%CI): Q1 1.61 (1.37, 1.89), p<0.001). Hospitals in the middle quartiles had lower in-hospital mortality compared to central hospitals (%, adjusted OR (95% CI): Q2 1.39%, 0.79 (0.70, 0.89), p<0.001; Q3 1.33%, 0.78 (0.70, 0.87), p<0.001). Peripheral hospitals had longer lengths of stay (adjusted incidence rate ratio (95% CI): Q1 2.47 (2.44, 2.50), p<0.001). These findings were replicated in California, and in patients with heart failure and pneumonia in Florida. These results show a u-shaped distribution of outcomes based on hospital network centrality quartile. CONCLUSIONS: The position of hospitals within an inter-hospital network is associated with patient outcomes. Specifically, hospitals located in the peripheral or central positions may be most vulnerable to diminished quality outcomes due to the network. Results should be replicated with deeper clinical data.",2023,,PLoS One,18,3,e0281871,,10.1371/journal.pone.0281871,36920981,#97,Bergmark 2023,"",""
"Exploring interhospital transfers and partnerships in the hospital sector in New South Wales, Australia.",Assareh H; Achat HM; Levesque JF; Leeder SR,"Objective The aim of the present study was to explore characteristics of interhospital transfers (IHT) and sharing of care among hospitals in New South Wales (NSW), Australia. Methods Data were extracted from patient-level linked hospital administrative datasets for separations from all NSW acute care hospitals from 1 July 2013 to 30 June 2015. Patient discharge and arrival information was used to identify IHTs. Characteristics of patients and related hospitals were then analysed. Results Transfer-in patients accounted for 3.9% of all NSW admitted patients and, overall, 7.3% of NSW admissions were associated with transfers (IHT rate). Patients with injuries and circulatory system diseases had the highest IHT rate, accounting for one-third of all IHTs. Patients were more often transferred to larger than smaller hospitals (61% vs 29%). Compared with private hospitals, public hospitals had a higher IHT rate (8.4% vs 5.1%) and a greater proportion of transfer-out IHTs (52% vs 28%). Larger public hospitals had lower IHT rates (3-8%) compared with smaller public hospitals (13-26%). Larger public hospitals received and retransferred higher proportions of IHT patients (52-58% and 11% respectively) than their smaller counterparts (26-30% and 2-3% respectively). Less than one-quarter of IHTs were between the public and private sectors or between government health regions. The number of interacting hospitals and their interactions varied across hospital peer groups. Conclusion NSW IHTs were often to hospitals with greater speciality services. The patterns of interhospital interactions could be affected by organisational and regional preferences. What is known about the topic? IHTs aim to provide efficient and effective care. Nonetheless, information on transfers and the sharing of care among hospitals in an Australian setting is lacking. Studies of transfers and hospital partnership patterns will inform efforts to improve patient-centred transfers and hospital accountability in terms of end outcomes for patients. What does this paper add? Transfer-in patients accounted for 3.9% of all NSW admissions; they were often (61%) transferred to hospitals with greater speciality services. The number of IHTs and sharing of care among hospitals varied across hospital peer groups, and could have been affected by organisational and regional preferences. What are the implications for practitioners? The findings of the present study suggest that different patterns of IHTs may not only have resulted from clinical priorities, but that organisational and regional preferences are also likely to be influential factors. Patient-centred IHTs and the development of guidelines need to be pursued to enhance the care and functionality of healthcare. Patient sharing should be acknowledged in hospital and regional performance profiling.",2017,Dec,Aust Health Rev,41,6,672-679,,10.1071/AH16117,27809958,#101,Assareh 2017,"",""
Influence of a patient transfer network of US inpatient facilities on the incidence of nosocomial infections.,Fernández-Gracia J; Onnela JP; Barnett ML; Eguíluz VM; Christakis NA,"Antibiotic-resistant bacterial infections are a substantial source of morbidity and mortality and have a common reservoir in inpatient settings. Transferring patients between facilities could be a mechanism for the spread of these infections. We wanted to assess whether a network of hospitals, linked by inpatient transfers, contributes to the spread of nosocomial infections and investigate how network structure may be leveraged to design efficient surveillance systems. We construct a network defined by the transfer of Medicare patients across US inpatient facilities using a 100% sample of inpatient discharge claims from 2006-2007. We show the association between network structure and C. difficile incidence, with a 1% increase in a facility's C. difficile incidence being associated with a 0.53% increase in C. difficile incidence of neighboring facilities. Finally, we used network science methods to determine the facilities to monitor to maximize surveillance efficiency. An optimal surveillance strategy for selecting ""sensor"" hospitals, based on their network position, detects 80% of the C. difficile infections using only 2% of hospitals as sensors. Selecting a small fraction of facilities as ""sensors"" could be a cost-effective mechanism to monitor emerging nosocomial infections.",2017,Jun,Sci Rep,7,1,2930,,10.1038/s41598-017-02245-7,28592870,#105,Fernández-Gracia 2017,"",""
"Social network analysis of patient sharing among hospitals in Orange County, California.",Lee BY; McGlone SM; Song Y; Avery TR; Eubank S; Chang CC; Bailey RR; Wagener DK; Burke DS; Platt R; Huang SS,"OBJECTIVES: We applied social network analyses to determine how hospitals within Orange County, California, are interconnected by patient sharing, a system which may have numerous public health implications. METHODS: Our analyses considered 2 general patient-sharing networks: uninterrupted patient sharing (UPS; i.e., direct interhospital transfers) and total patient sharing (TPS; i.e., all interhospital patient sharing, including patients with intervening nonhospital stays). We considered these networks at 3 thresholds of patient sharing: at least 1, at least 10, and at least 100 patients shared. RESULTS: Geographically proximate hospitals were somewhat more likely to share patients, but many hospitals shared patients with distant hospitals. Number of patient admissions and percentage of cancer patients were associated with greater connectivity across the system. The TPS network revealed numerous connections not seen in the UPS network, meaning that direct transfers only accounted for a fraction of total patient sharing. CONCLUSIONS: Our analysis demonstrated that Orange County's 32 hospitals were highly and heterogeneously interconnected by patient sharing. Different hospital populations had different levels of influence over the patient-sharing network.",2011,Apr,Am J Public Health,101,4,707-13,,10.2105/AJPH.2010.202754,21330578,#111,Lee 2011,"",""
Relevance of intra-hospital patient movements for the spread of healthcare-associated infections within hospitals - a mathematical modeling study.,Tahir H; López-Cortés LE; Kola A; Yahav D; Karch A; Xia H; Horn J; Sakowski K; Piotrowska MJ; Leibovici L; Mikolajczyk RT; Kretzschmar ME,"The aim of this study is to analyze patient movement patterns between hospital departments to derive the underlying intra-hospital movement network, and to assess if movement patterns differ between patients at high or low risk of colonization. For that purpose, we analyzed patient electronic medical record data from five hospitals to extract information on risk stratification and patient intra-hospital movements. Movement patterns were visualized as networks, and network centrality measures were calculated. Next, using an agent-based model where agents represent patients and intra-hospital patient movements were explicitly modeled, we simulated the spread of multidrug resistant enterobacteriacae (MDR-E) inside a hospital. Risk stratification of patients according to certain ICD-10 codes revealed that length of stay, patient age, and mean number of movements per admission were higher in the high-risk groups. Movement networks in all hospitals displayed a high variability among departments concerning their network centrality and connectedness with a few highly connected departments and many weakly connected peripheral departments. Simulating the spread of a pathogen in one hospital network showed positive correlation between department prevalence and network centrality measures. This study highlights the importance of intra-hospital patient movements and their possible impact on pathogen spread. Targeting interventions to departments of higher (weighted) degree may help to control the spread of MDR-E. Moreover, when the colonization status of patients coming from different departments is unknown, a ranking system based on department centralities may be used to design more effective interventions that mitigate pathogen spread.",2021,Feb,PLoS Comput Biol,17,2,e1008600,,10.1371/journal.pcbi.1008600,33534784,#114,Tahir 2021,"",""
Hospital networks and the dispersal of hospital-acquired pathogens by patient transfer.,Donker T; Wallinga J; Slack R; Grundmann H,"Hospital-acquired infections (HAI) are often seen as preventable incidents that result from unsafe practices or poor hospital hygiene. This however ignores the fact that transmissibility is not only a property of the causative organisms but also of the hosts who can translocate bacteria when moving between hospitals. In an epidemiological sense, hospitals become connected through the patients they share. We here postulate that the degree of hospital connectedness crucially influences the rates of infections caused by hospital-acquired bacteria. To test this hypothesis, we mapped the movement of patients based on the UK-NHS Hospital Episode Statistics and observed that the proportion of patients admitted to a hospital after a recent episode in another hospital correlates with the hospital-specific incidence rate of MRSA bacteraemia as recorded by mandatory reporting. We observed a positive correlation between hospital connectedness and MRSA bacteraemia incidence rate that is significant for all financial years since 2001 except for 2008-09. All years combined, this correlation is positive and significantly different from zero (partial correlation coefficient r = 0.33 (0.28 to 0.38)). When comparing the referral pattern for English hospitals with referral patterns observed in the Netherlands, we predict that English hospitals more likely see a swifter and more sustained spread of HAIs. Our results indicate that hospitals cannot be viewed as individual units but rather should be viewed as connected elements of larger modular networks. Our findings stress the importance of cooperative effects that will have a bearing on the planning of health care systems, patient management and hospital infection control.",2012,,PLoS One,7,4,e35002,,10.1371/journal.pone.0035002,22558106,#120,Donker 2012,"",""
Efficient surveillance for healthcare-associated infections spreading between hospitals.,Ciccolini M; Donker T; Grundmann H; Bonten MJ; Woolhouse ME,"Early detection of new or novel variants of nosocomial pathogens is a public health priority. We show that, for healthcare-associated infections that spread between hospitals as a result of patient movements, it is possible to design an effective surveillance system based on a relatively small number of sentinel hospitals. We apply recently developed mathematical models to patient admission data from the national healthcare systems of England and The Netherlands. Relatively short detection times are achieved once 10-20% hospitals are recruited as sentinels and only modest reductions are seen as more hospitals are recruited thereafter. Using a heuristic optimization approach to sentinel selection, the same expected time to detection can be achieved by recruiting approximately half as many hospitals. Our study provides a robust evidence base to underpin the design of an efficient sentinel hospital surveillance system for novel nosocomial pathogens, delivering early detection times for reduced expenditure and effort.",2014,Feb,Proc Natl Acad Sci U S A,111,6,2271-6,,10.1073/pnas.1308062111,24469791,#128,Ciccolini 2014,"",""
Hospital Transfer Network Structure as a Risk Factor for Clostridium difficile Infection.,Simmering JE; Polgreen LA; Campbell DR; Cavanaugh JE; Polgreen PM,"OBJECTIVE: To determine the effect of interhospital patient sharing via transfers on the rate of Clostridium difficile infections in a hospital. DESIGN: Retrospective cohort. METHODS: Using data from the Healthcare Cost and Utilization Project California State Inpatient Database, 2005-2011, we identified 2,752,639 transfers. We then constructed a series of networks detailing the connections formed by hospitals. We computed 2 measures of connectivity, indegree and weighted indegree, measuring the number of hospitals from which transfers into a hospital arrive, and the total number of incoming transfers, respectively. Next, we estimated a multivariate model of C. difficile infection cases using the log-transformed network measures as well as covariates for hospital fixed effects, log median length of stay, log fraction of patients aged 65 or older, and quarter and year indicators as predictors. RESULTS: We found an increase of 1 in the log indegree was associated with a 4.8% increase in incidence of C. difficile infection (95% CI, 2.3%-7.4%) and an increase of 1 in log weighted indegree was associated with a 3.3% increase in C. difficile infection incidence (1.5%-5.2%). Moreover, including measures of connectivity in our models greatly improved their fit. CONCLUSIONS: Our results suggest infection control is not under the exclusive control of a given hospital but is also influenced by the connections and number of connections that hospitals have with other hospitals.",2015,Sep,Infect Control Hosp Epidemiol,36,9,1031-7,,10.1017/ice.2015.130,26072907,#131,Simmering 2015,"",""
Identifying the effect of patient sharing on between-hospital genetic differentiation of methicillin-resistant Staphylococcus aureus.,Chang HH; Dordel J; Donker T; Worby CJ; Feil EJ; Hanage WP; Bentley SD; Huang SS; Lipsitch M,"BACKGROUND: Methicillin-resistant Staphylococcus aureus (MRSA) is one of the most common healthcare-associated pathogens. To examine the role of inter-hospital patient sharing on MRSA transmission, a previous study collected 2,214 samples from 30 hospitals in Orange County, California and showed by spa typing that genetic differentiation decreased significantly with increased patient sharing. In the current study, we focused on the 986 samples with spa type t008 from the same population. METHODS: We used genome sequencing to determine the effect of patient sharing on genetic differentiation between hospitals. Genetic differentiation was measured by between-hospital genetic diversity, F ST , and the proportion of nearly identical isolates between hospitals. RESULTS: Surprisingly, we found very similar genetic diversity within and between hospitals, and no significant association between patient sharing and genetic differentiation measured by F ST . However, in contrast to F ST , there was a significant association between patient sharing and the proportion of nearly identical isolates between hospitals. We propose that the proportion of nearly identical isolates is more powerful at determining transmission dynamics than traditional estimators of genetic differentiation (F ST ) when gene flow between populations is high, since it is more responsive to recent transmission events. Our hypothesis was supported by the results from coalescent simulations. CONCLUSIONS: Our results suggested that there was a high level of gene flow between hospitals facilitated by patient sharing, and that the proportion of nearly identical isolates is more sensitive to population structure than F ST when gene flow is high.",2016,Feb,Genome Med,8,1,18,,10.1186/s13073-016-0274-3,26873713,#133,Chang 2016,"",""
Quality of care and interhospital collaboration: a study of patient transfers in Italy.,Lomi A; Mascia D; Vu DQ; Pallotti F; Conaldi G; Iwashyna TJ,"OBJECTIVES: We examine the dynamics of patient-sharing relations within an Italian regional community of 35 hospitals serving approximately 1,300,000 people. We test whether interorganizational relations provide individual patients access to higher quality providers of care. RESEARCH DESIGN AND METHODS: We reconstruct the complete temporal sequence of the 3461 consecutive interhospital patient-sharing events observed between each pair of hospitals in the community during 2005-2008. We distinguish between transfers occurring between and within different medical specialties. We estimate newly derived models for relational event sequences that allow us to control for the most common forms of network-like dependencies that are known to characterize collaborative relations between hospitals. We use 45-day risk-adjusted readmission rate as a proxy for hospital quality. RESULTS: After controls (eg, geographical distance, size, and the existence of prior collaborative relations), we find that patients flow from less to more capable hospitals. We show that this result holds for patient being shared both between as well as within medical specialties. Nonetheless there are strong and persistent other organizational and relational effects driving transfers. CONCLUSIONS: Decentralized patient-sharing decisions taken by the 35 hospitals give rise to a system of collaborative interorganizational arrangements that allow the patient to access hospitals delivering a higher quality of care. This result is relevant for health care policy because it suggests that collaborative relations between hospitals may produce desirable outcomes both for individual patients, and for regional health care systems.",2014,May,Med Care,52,5,407-14,,10.1097/MLR.0000000000000107,24714579,#137,Lomi 2014,"",""
